 ,time,force,units, ,x ,y ,z, 
b',27566,6.353,lbs,\r\n'b',3500,3122,1114,\r\n'
b',27654,6.199,lbs,\r\n'b',3506,3285,1238,\r\n'
b',27742,6.098,lbs,\r\n'b',3489,3251,1198,\r\n'
b',27830,6.029,lbs,\r\n'b',3490,3231,1218,\r\n'
b',27918,5.946,lbs,\r\n'b',3492,3239,1179,\r\n'
b',28006,5.882,lbs,\r\n'b',3484,3260,1189,\r\n'
b',28094,5.881,lbs,\r\n'b',3499,3255,1176,\r\n'
b',28182,5.892,lbs,\r\n'b',3486,3228,1181,\r\n'
b',28270,5.818,lbs,\r\n'b',3484,3252,1140,\r\n'
b',28358,5.805,lbs,\r\n'b',3493,3240,1195,\r\n'
b',28446,5.814,lbs,\r\n'b',3480,3244,1189,\r\n'
b',28534,5.765,lbs,\r\n'b',3501,3236,1210,\r\n'
b',28622,5.784,lbs,\r\n'b',3531,3215,1196,\r\n'
b',28710,5.709,lbs,\r\n'b',3510,3237,1126,\r\n'
b',28798,5.651,lbs,\r\n'b',3507,3226,1151,\r\n'
b',28886,5.6,lbs,\r\n'b',3779,3325,1394,\r\n'
b',28974,5.588,lbs,\r\n'b',3472,3227,1132,\r\n'
b',29062,5.53,lbs,\r\n'b',3514,3209,1163,\r\n'
b',29150,5.493,lbs,\r\n'b',3531,3232,1140,\r\n'
b',29238,5.348,lbs,\r\n'b',3479,3233,1116,\r\n'
b',29326,5.217,lbs,\r\n'b',3516,3238,1187,\r\n'
b',29414,5.038,lbs,\r\n'b',3490,3218,1116,\r\n'
b',29502,5,lbs,\r\n'b',3516,3238,1179,\r\n'
b',29590,4.965,lbs,\r\n'b',3493,3235,1154,\r\n'
b',29678,4.975,lbs,\r\n'b',3471,3193,1126,\r\n'
b',29766,5.036,lbs,\r\n'b',3492,3251,1184,\r\n'
b',29854,5.075,lbs,\r\n'b',3511,3252,1199,\r\n'
b',29942,5.198,lbs,\r\n'b',3503,3216,1176,\r\n'
b',30030,5.326,lbs,\r\n'b',3452,3198,1141,\r\n'
b',30118,5.47,lbs,\r\n'b'ERROR positioning on ID 0x614E, error code: 0xA\r\n',,,
b',30206,5.55,lbs,\r\n'b',3478,3216,1209,\r\n'
b',30294,5.551,lbs,\r\n'b',3464,3187,1140,\r\n'
b',30382,5.585,lbs,\r\n'b',3449,3204,1142,\r\n'
b',30470,5.533,lbs,\r\n'b',3479,3262,1162,\r\n'
b',30558,5.4,lbs,\r\n'b',3470,3231,1195,\r\n'
b',30646,5.31,lbs,\r\n'b',3485,3254,1206,\r\n'
b',30734,5.273,lbs,\r\n'b',3459,3251,1152,\r\n'
b',30822,5.163,lbs,\r\n'b',3444,3269,1168,\r\n'
b',30910,5.119,lbs,\r\n'b',3478,3209,1160,\r\n'
b',30998,4.966,lbs,\r\n'b',3464,3241,1189,\r\n'
b',31086,4.815,lbs,\r\n'b',3451,3247,1202,\r\n'
b',31174,4.749,lbs,\r\n'b',3430,3232,1130,\r\n'
b',31262,4.643,lbs,\r\n'b',3473,3243,1195,\r\n'
b',31350,4.455,lbs,\r\n'b',3495,3214,1202,\r\n'
b',31438,4.392,lbs,\r\n'b',3480,3236,1199,\r\n'
b',31526,4.355,lbs,\r\n'b',3486,3278,1173,\r\n'
b',31614,4.399,lbs,\r\n'b',3461,3266,1134,\r\n'
b',31702,4.442,lbs,\r\n'b',3501,3264,1187,\r\n'
b',31790,4.593,lbs,\r\n'b',3465,3238,1204,\r\n'
b',31878,4.757,lbs,\r\n'b',3470,3253,1173,\r\n'
b',31966,4.864,lbs,\r\n'b',3498,3230,1171,\r\n'
b',32054,5.028,lbs,\r\n'b',3501,3247,1196,\r\n'
b',32142,5.163,lbs,\r\n'b',3478,3260,1176,\r\n'
b',32230,5.255,lbs,\r\n'b',3465,3236,1151,\r\n'
b',32318,5.315,lbs,\r\n'b',3490,3231,1218,\r\n'
b',32406,5.323,lbs,\r\n'b',3479,3252,1176,\r\n'
b',32494,5.398,lbs,\r\n'b',3508,3239,1224,\r\n'
b',32582,5.492,lbs,\r\n'b',3503,3226,1141,\r\n'
b',32670,5.605,lbs,\r\n'b'ERROR positioning on ID 0x614E, error code: 0xA\r\n',,,
b',32758,5.704,lbs,\r\n'b',3479,3251,1183,\r\n'
b',32846,5.642,lbs,\r\n'b',3481,3220,1174,\r\n'
b',32934,5.631,lbs,\r\n'b',3510,3222,1172,\r\n'
b',33022,5.512,lbs,\r\n'b',3456,3253,1157,\r\n'
b',33110,5.446,lbs,\r\n'b',3485,3237,1183,\r\n'
b',33198,5.506,lbs,\r\n'b'ERROR positioning on ID 0x614E, error code: 0xA\r\n',,,
b',33286,5.397,lbs,\r\n'b',3494,3249,1186,\r\n'
b',33374,5.265,lbs,\r\n'b',3501,3244,1201,\r\n'
b',33462,5.334,lbs,\r\n'b',3477,3216,1133,\r\n'
b',33550,5.421,lbs,\r\n'b',3465,3212,1161,\r\n'
b',33638,5.358,lbs,\r\n'b',3489,3249,1179,\r\n'
b',33726,5.252,lbs,\r\n'b',3481,3204,1144,\r\n'
b',33814,5.201,lbs,\r\n'b',3488,3226,1169,\r\n'
b',33902,5.22,lbs,\r\n'b',3473,3185,1181,\r\n'
b',33990,5.278,lbs,\r\n'b',3462,3241,1164,\r\n'
b',34078,5.239,lbs,\r\n'b',3464,3258,1166,\r\n'
b',34166,5.109,lbs,\r\n'b',3499,3243,1154,\r\n'
b',34254,5.005,lbs,\r\n'b',3457,3260,1101,\r\n'
b',34342,5.016,lbs,\r\n'b',3507,3227,1192,\r\n'
b',34430,5.041,lbs,\r\n'b',3479,3217,1215,\r\n'
b',34518,5.028,lbs,\r\n'b',3479,3282,1169,\r\n'
b',34606,4.953,lbs,\r\n'b',3488,3282,1202,\r\n'
